Item,Part Number,Qty,Reference(s),Title/Description,Value on Schematic,Manufacturer,Manufacturer Part Number
83,800269-101,1,U1201,"IC,AUDIO AMPLIFIER,2.5W,DIP14",LM380N,Texas Instruments,LM380N/NOPB
84,800262-101,3,"U801,U1301,U2201","MODULE,MIXER,SMD,LEVEL 7,0.5 TO 500 MHZ",ADE-1,Mini Circuits,ADE-1
85,800261-101,6,"U1801,U1802,U2101,U2102,U2301,U2302","IC,RF SWITCH,SPDT,50 OHM",AS169-73,Skyworks,AS169-73
86,800284-101,1,U401,"IC,EEPROM,64KBIT,I2C,1.6-5.5V,SOT23-5",24CW640,Microchip,24CW640T-I/OT
87,800285-101,1,U402,"IC,DAC,12 BIT,I2C,2.7-5.5V,SOT23-6",MCP4725,Microchip,MCP4725A1T-E/CH
88,800278-102,1,U403,"IC,NAND GATE,2 INPUT,LVC,SOT23",74LVC1G00,Texas Instruments,SN74LVC1G00DBVRG4
89,800237-101,1,U501,"IC, I2C BUS EXPANDER, 8 BIT, TSSOP16",PCA9554APW,NEXPERIA,PCA9554APW
90,800121-102,1,VR1601,"IC,VREG,5V,1A,SOT-223",NCP1117-5.0_SOT223,On Semiconductor,NCP1117ST50
91,800187-101,1,VR401,"IC,VREG,LDO,500MA,3.3V,SOT23",ME6211A33M3G-N,Nanjing Micro One Elec,ME6211A33M3B-N
92,800287-101,2,"Y2001,Y2002","FILTER,XTAL,MONOLITHIC,45.1 MHZ,15KHZ BW",45.1 MHz,GOLLEDGE,GMCF-45T152AF
93,800286-101,6,Y701-Y706,"CRYSTAL,HC-49U,12.288 MHZ,32PF",12.288 MHz,CTS Crystals,MP122-E
94,XXXXXX-XXX,4,"R1802,R1803,R1806,R1807",DNI,DNI,DNI,DNI
