Ref,Val,Package,PosX,PosY,Rot,Side
"R301","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",222.500000,-124.500000,0.000000,top
"R302","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",222.500000,-120.000000,0.000000,top
"R303","100","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",66.500000,-105.500000,90.000000,top
"R403","1K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",214.000000,-112.500000,90.000000,top
"R404","1K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",211.000000,-112.500000,90.000000,top
"R405","1K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",207.500000,-112.500000,90.000000,top
"R406","1K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",231.500000,-115.000000,90.000000,top
"R801","470","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",234.000000,-144.500000,0.000000,top
"R802","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",200.500000,-133.500000,-90.000000,top
"R803","10","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",205.000000,-138.000000,180.000000,top
"R805","100","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",200.500000,-138.000000,-90.000000,top
"R806","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",198.000000,-138.500000,90.000000,top
"R808","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",204.500000,-127.500000,90.000000,top
"R809","10","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",213.500000,-126.500000,-90.000000,top
"R810","100","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",206.500000,-127.500000,-90.000000,top
"R811","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",206.000000,-118.500000,90.000000,top
"R904","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",77.000000,-66.000000,180.000000,top
"R905","20K","Potentiometer_Bourns_3296W_Vertical_Screw_SS",72.000000,-59.800000,-90.000000,top
"R907","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",93.700000,-66.900000,90.000000,top
"R908","680","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",77.000000,-62.000000,180.000000,top
"R910","270K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",81.000000,-62.000000,180.000000,top
