Ref,Val,Package,PosX,PosY,Rot,Side
"C1709","0.0027u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",86.000000,-71.000000,180.000000,top
"C1711","22u","CP_Elec_6.3x5.7",56.000000,-63.000000,180.000000,top
"C1716","22u","CP_Elec_6.3x5.7",55.000000,-83.000000,270.000000,top
"C1801","0.01u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",136.000000,-73.000000,90.000000,top
"C1802","0.01u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",136.000000,-84.000000,180.000000,top
"C1803","1000p","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",130.000000,-79.000000,270.000000,top
"C1804","0.1u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",142.000000,-88.000000,270.000000,top
"C2102","0.01u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",176.000000,-93.000000,0.000000,top
"C2104","0.01u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",157.000000,-82.000000,270.000000,top
"C2105","0.01u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",162.000000,-91.000000,0.000000,top
"C2107","0.01u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",172.000000,-90.000000,0.000000,top
"C2109","0.01u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",152.000000,-76.000000,0.000000,top
"C2114","0.01u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",195.000000,-61.500000,270.000000,top
"C2116","0.01u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",183.000000,-63.000000,90.000000,top
"C2117","0.01u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",183.000000,-71.000000,90.000000,top
"C2118","0.01u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",172.000000,-57.000000,180.000000,top
"C2119","0.01u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",166.000000,-70.000000,270.000000,top
"C2120","0.01u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",167.025000,-58.000000,180.000000,top
"C2121","0.01u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",173.000000,-65.000000,270.000000,top
"C2301","0.1u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",200.600000,-70.500000,0.000000,top
"C2302","0.1u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",202.500000,-77.500000,270.000000,top
"C2303","0.1u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",194.500000,-68.500000,90.000000,top
"C2309","0.1u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",220.500000,-56.000000,270.000000,top
"C2311","0.1u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",225.500000,-68.500000,180.000000,top
"C2312","0.1u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",207.000000,-59.000000,270.000000,top
"C2314","0.1u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",201.500000,-59.500000,270.000000,top
"C2315","0.1u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",207.000000,-66.500000,270.000000,top
"CR901","BAT54","SOT23-3-SAR",71.000000,-114.000000,0.000000,top
"CR902","BAT54","SOT23-3-SAR",67.000000,-112.000000,270.000000,top
"CR1101","BAT54","SOT23-3-SAR",100.000000,-127.000000,180.000000,top
"CR1102","BAT54","SOT23-3-SAR",95.000000,-127.000000,180.000000,top
"CR1103","BAT54","SOT23-3-SAR",105.000000,-127.000000,180.000000,top
"CR1104","BAT54","SOT23-3-SAR",87.000000,-120.000000,90.000000,top
"E301","FB0805","L_0805_2012Metric_Pad1.15x1.40mm_HandSolder",236.500000,-120.000000,180.000000,top
"E302","FB0805","L_0805_2012Metric_Pad1.15x1.40mm_HandSolder",236.500000,-122.500000,180.000000,top
"E303","FB0805","L_0805_2012Metric_Pad1.15x1.40mm_HandSolder",237.500000,-133.500000,180.000000,top
"E901","GZ2012U601TF","L_0805_2012Metric_Pad1.15x1.40mm_HandSolder",131.500000,-136.000000,180.000000,top
"E2101","FB0805","L_0805_2012Metric_Pad1.15x1.40mm_HandSolder",174.500000,-77.100000,180.000000,top
"E2104","FB0805","L_0805_2012Metric_Pad1.15x1.40mm_HandSolder",194.000000,-57.000000,180.000000,top
"E2301","FB0805","L_0805_2012Metric_Pad1.15x1.40mm_HandSolder",198.500000,-74.000000,180.000000,top
"E2302","FB0805","L_0805_2012Metric_Pad1.15x1.40mm_HandSolder",191.000000,-68.500000,90.000000,top
"E2303","FB0805","L_0805_2012Metric_Pad1.15x1.40mm_HandSolder",217.500000,-56.000000,270.000000,top
"Q301","BSS138","SOT23-3-SAR",232.500000,-131.500000,270.000000,top
"Q401","BSS138","SOT23-3-SAR",227.500000,-124.500000,270.000000,top
"Q402","BSS138","SOT23-3-SAR",227.500000,-120.000000,270.000000,top
"Q801","MMBT3904","SOT23-3-SAR",112.000000,-68.000000,90.000000,top
"Q901","MMBFJ310","SOT23-3-SAR",96.000000,-137.500000,0.000000,top
"Q902","MMBFJ310","SOT23-3-SAR",116.000000,-143.000000,90.000000,top
"Q903","MMBT3904","SOT23-3-SAR",102.000000,-132.000000,180.000000,top
"Q904","MMBT3904","SOT23-3-SAR",122.000000,-135.000000,180.000000,top
"Q905","BSS138","SOT23-3-SAR",69.500000,-109.000000,180.000000,top
"Q1201","BSS138","SOT23-3-SAR",200.500000,-115.500000,90.000000,top
"Q1301","MMBT3904","SOT23-3-SAR",182.000000,-133.000000,90.000000,top
"Q1302","MMBT3904","SOT23-3-SAR",180.000000,-125.000000,180.000000,top
"Q1303","MMBT3904","SOT23-3-SAR",176.500000,-130.000000,180.000000,top
"Q1601","SI2369","SOT23-3-SAR",205.010000,-134.030000,270.000000,top
"Q1602","BSS138","SOT23-3-SAR",204.000000,-142.000000,0.000000,top
"Q1603","MMBT3904","SOT23-3-SAR",199.500000,-143.000000,270.000000,top
"Q1604","SI2369","SOT23-3-SAR",210.000000,-125.500000,270.000000,top
"Q1605","BSS138","SOT23-3-SAR",212.500000,-130.500000,270.000000,top
"Q1606","MMBT3904","SOT23-3-SAR",205.000000,-122.500000,180.000000,top
"Q1702","MMBT3904","SOT23-3-SAR",59.000000,-75.000000,270.000000,top
"Q2101","2SC3357","SOT-89-3",167.000000,-88.000000,90.000000,top
"Q2102","2SC3357","SOT-89-3",176.500000,-60.000000,0.000000,top
"Q2301","2SC3357","SOT-89-3",212.000000,-62.000000,0.000000,top
"R301","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",63.000000,-115.000000,270.000000,top
